2015.12.22 4:31,3.9,11,36.02,126.95
2015.12.25 4:03,1.2,11,37.81,124.77
2015.12.26 10:57,1.2,19,36.47,127.94
2015.12.28 3:58,1.4,9,34.52,128.24
2016.1.1 8:28,1.3,12,38.45,127.99
2016.1.2 2:27,1.5,17,34.95,128.85
2016.1.3 16:29,1.9,17,33.44,127.21
2016.1.5 19:40,1.3,13,36.4,128.79
2016.1.5 22:28,1.1,12,36.32,128.22
2016.1.6 20:39,3,7,36.01,128.07
2016.1.8 11:05,1.2,17,36.33,128.5
2016.1.9 19:41,1.8,21,33.39,127.28
2016.1.10 6:31,1.9,15,36.99,129.56
2016.1.11 14:26,1.5,14,35.23,128.03
2016.1.12 2:23,1.8,17,36.23,127.18
2016.1.13 18:43,1.4,18,36.2,126.92
2016.1.17 1:34,1.5,5,36.36,129.87
2016.1.22 4:52,1.5,17,35.77,128.28
2016.1.23 7:14,2.4,7,38.42,126.25
2016.1.24 3:18,1.7,23,36.27,128.41
2016.1.25 18:40,2.3,20,36.22,128.69
2016.1.26 5:30,1.7,12,36.29,129.52
2016.1.26 7:50,1.6,18,36.44,128.41
2016.1.31 3:03,2,28,36.95,129.92
2016.2.1 13:07,1.7,7,36.32,129.56
2016.2.4 0:29,1.6,20,38.53,125.64
2016.2.4 18:20,1.6,8,36.32,129.56
2016.2.6 23:05,1.3,7,35.21,127.69
2016.2.8 13:59,1.8,15,36.32,129.56
2016.2.8 19:10,1.5,13,36.32,129.58
2016.2.9 6:13,1.3,10,36.02,126.96
2016.2.9 10:46,1.5,15,36.33,128.36
2016.2.11 3:50,1.1,13,36.31,129.58
2016.2.11 5:57,3.1,17,36.21,127.48
2016.2.12 2:28,1.3,11,35.97,127.4
2016.2.14 5:25,1.7,14,34.93,128.06
2016.2.15 12:56,1.3,13,36.49,126.99
2016.2.16 7:35,1.4,18,37.28,129.43
2016.2.16 9:30,1.2,13,36.39,128.08
2016.2.17 17:25,1.4,14,36.3,128.27
2016.2.18 18:41,1.6,13,34.97,128.55
2016.2.21 6:38,1.3,15,38.23,128.68
2016.2.23 2:33,1.2,17,36.21,128.59
2016.2.23 13:46,1.2,13,35.41,127.78
2016.2.24 23:22,2.9,20,33.52,125.92
2016.2.24 23:31,1.2,17,36.21,128.12
2016.2.26 8:29,1.4,8,36.38,127.14
2016.2.26 9:38,1.9,13,35.29,129.93
2016.2.26 18:46,2.2,14,33.23,127.19
2016.2.28 16:52,2.5,6,38.73,125.85
2016.2.29 18:43,1.3,12,33.3,126.28
2016.2.29 22:49,1.1,10,36.75,128.39
2016.3.1 22:53,1.1,9,37.21,127.2
2016.3.9 4:34,1.4,9,36.41,128.26
2016.3.9 20:45,1.7,16,33.44,127.32
2016.3.10 14:03,1.3,15,36.33,128.04
2016.3.14 5:17,3.1,8,38.71,125.87
2016.3.15 3:00,2.7,16,36.31,128.21
2016.3.15 3:38,2.5,13,37.6,129.82
2016.3.16 6:14,1.2,18,35.1,126.55
2016.3.24 2:11,1.3,11,36.41,127.65
2016.3.27 2:12,1.6,18,38.37,128.95
2016.3.27 14:52,2.3,12,35.33,130.04
2016.3.27 18:28,3.1,7,39.38,126.06
2016.3.27 23:13,1.1,16,35.77,129.36
2016.3.28 14:34,2.9,13,35.22,127.96
2016.3.28 20:28,1.8,15,35.22,127.97
2016.3.31 12:58,1.3,16,36.11,129.36
2016.4.1 23:37,1.9,12,33.28,126.26
2016.4.6 22:14,1.2,12,38.24,128.57
2016.4.10 23:22,1.7,11,34.17,127.04
2016.4.11 3:41,1.2,5,37.66,128.61
2016.4.13 3:44,1.9,15,35.92,127.93
2016.4.13 5:28,2.1,17,35.92,127.93
2016.4.13 7:42,1.9,20,36.03,129.56
2016.4.14 11:01,1.9,14,35.84,126.83
2016.4.14 15:50,1.1,11,36.71,127.75
2016.4.15 17:54,1.6,12,37.08,128.33
2016.4.21 2:46,1.2,17,34.83,127.38
2016.4.21 15:53,2.7,18,33.52,125.92
2016.4.21 15:55,2.7,10,33.53,125.89
2016.4.23 3:47,1.8,14,36.27,128.62
2016.4.24 11:24,1.6,12,37.2,129.05
2016.4.25 6:18,1.9,9,33.08,126.27
2016.4.25 11:42,2.3,22,33.51,125.91
2016.4.27 19:27,2.3,15,35.57,128.34
2016.4.28 10:16,2.4,10,35.42,128.56
2016.4.30 22:46,2.6,19,37.75,125.4
2016.5.2 2:49,1.4,17,35.11,128.54
2016.5.2 11:54,1.6,21,35.19,127.37
2016.5.3 4:02,1.5,17,36.36,129.79
2016.5.4 10:34,1.7,10,36.44,128.84
2016.5.4 16:38,1.7,8,37.2,128.82
2016.5.5 3:49,1.7,8,36.45,128.85
2016.5.5 23:14,1.8,15,36.12,128.15
2016.5.10 19:28,1.4,20,36.47,128.39
2016.5.12 13:37,1.8,12,34.69,126.79
2016.5.14 4:35,1.1,18,35.74,129.03
2016.5.15 17:04,1.9,13,38.14,127.1
2016.5.16 15:16,1.8,19,36.03,126.61
2016.5.17 20:06,1.9,18,35.53,128.05
2016.5.22 1:22,3.5,21,40.68,127.15
