기타,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,2,2,20,0,0,0,0,0,5,4,0,4,0,0,0,11,12
가정폭력범죄의처벌등에관한특례법,4,0,0,7,0,0,2,0,0,0,0,0,1,0,0,31,1,1,2,0,0,11,0,1,0,20,0,0,1,8,15,0,0,0,0,0,1,3,1,0,0,3,0,0,65,14
가축분뇨의관리및이용에관한법률,509,0,9,5,4,0,0,0,1,0,1,0,0,0,0,117,0,0,0,0,0,5,0,0,0,17,0,0,0,6,17,0,0,0,1,0,0,3,0,0,0,0,0,0,17,189
감염병의예방및관리에관한법률,0,0,0,0,0,0,0,0,36,0,0,2,0,0,0,62,0,0,0,0,0,0,0,0,0,2,0,34,0,0,17,11,0,2,0,0,0,3,1,0,1,0,0,0,24,24
개발제한구역의지정및관리에관한특별조치법,199,0,23,42,13,2,53,1,0,1,6,0,1,3,0,444,0,0,1,0,0,4,1,0,1,84,1,0,3,14,29,4,2,3,17,1,2,17,11,0,0,54,0,0,236,318
개인정보보호법,10,0,4,13,10,1,8,1,2,5,32,4,1,0,0,267,14,12,3,4,0,19,9,3,4,333,16,2,1,4,114,27,15,4,5,1,6,84,116,1,17,44,0,3,171,475
건강기능식품에관한법률,1,0,2,2,115,0,2,0,0,0,0,1,0,2,0,294,0,2,0,1,1,5,2,8,0,53,0,0,3,4,43,1,0,0,4,2,0,45,0,0,3,62,0,0,61,169
건설기계관리법,35,2,13,52,8,0,1,0,1,0,0,0,46,0,0,193,0,0,12,1,2,72,1,2,0,97,0,0,0,24,42,0,0,0,1,0,0,5,3,0,1,0,0,0,29,127
건설산업기본법,27,1,29,2572,12,5,9,4,2,0,126,0,2,1,0,629,0,2,72,2,0,14,3,0,4,335,0,0,1,55,73,3,0,1,9,8,1,47,22,0,0,181,0,0,625,617
건축법,534,0,88,529,77,3,155,74,6,1,97,3,7,9,0,1220,9,17,8,3,2,35,10,4,0,476,3,0,22,41,124,14,1,9,74,1,15,146,16,0,5,395,0,0,729,796
게임산업진흥에관한법률,34,0,17,37,45,1,50,6,272,1,13,0,1,18,0,3746,0,3,18,28,0,79,3,12,0,337,0,98,28,144,1840,1,1,0,5,0,1,52,2,0,231,90,0,3,1227,1434
결혼중개업의관리에관한법률,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,44,0,0,0,0,0,0,0,0,0,4,0,0,0,1,10,0,0,0,1,0,0,3,0,0,0,8,0,0,13,34
경범죄처벌법,75,0,20,139,14,6,44,4,15,2,35,6,16,15,1,622,4,7,89,10,14,181,27,12,1,733,3,10,44,623,549,6,0,1,13,3,12,95,26,0,105,68,0,5,2120,824
