200805,9133,3149,2215,301,14798,2226,8297,1178,2590,65,404,14798
200806,8856,2748,1895,280,13778,2173,7500,1051,2610,40,372,13778
200807,9038,2759,1849,316,13962,2098,7661,989,2753,31,392,13962
200808,8712,3115,1940,282,14048,2028,7825,929,2840,29,369,14048
200809,8872,3000,1970,316,14157,2173,7900,966,2694,35,354,14157
200810,9001,2863,2201,325,14391,2272,7771,1166,2615,79,447,14391
200811,8457,3034,3147,360,14998,2200,7774,1694,2654,185,440,14998
200812,9024,3276,4465,457,17222,2264,8924,2418,2810,285,462,17222
200901,8538,2768,4991,397,16695,1873,8294,2787,2954,336,385,16695
200902,8086,2727,4245,376,15434,1542,7990,2377,2864,240,368,15434
200903,8732,2969,3505,381,15587,1728,8252,2133,2805,213,402,15587
200904,8713,2916,2839,363,14831,1711,8107,1653,2793,124,402,14831
200905,8745,3208,2188,306,14447,1828,8324,1176,2618,62,410,14447
200906,8656,2933,1934,332,13854,1802,7970,959,2673,38,376,13854
200907,8955,3045,1900,314,14214,2164,7843,948,2789,34,399,14214
200908,8769,3143,1938,328,14179,1945,8029,922,2842,29,375,14179
200909,8930,2887,1991,325,14133,2126,7744,940,2883,35,360,14133
200910,9124,3219,2424,330,15097,2168,8586,1095,2670,80,457,15097
200911,9265,2894,3281,372,15812,2108,8310,1795,2884,197,454,15812
200912,9540,3183,4593,482,17798,2020,9067,2673,3151,320,481,17798
201001,9763,2759,5185,437,18144,2099,8605,3115,3415,385,424,18144
201002,8774,2740,4465,400,16379,1969,7789,2641,3201,274,422,16379
201003,9570,3074,3718,396,16758,2250,8327,2329,3059,249,448,16758
201004,9758,3056,3276,374,16464,2381,8322,1974,3095,167,442,16464
201005,9560,3194,2412,309,15475,2345,8226,1418,2909,78,434,15475
201006,9713,3016,1955,340,15024,2479,8020,1075,2910,42,431,15024
201007,9456,3165,1898,312,14831,2292,7946,990,3057,33,441,14831
201008,9621,3327,2073,350,15371,2336,8386,902,3205,30,439,15371
201009,9462,3015,2089,323,14889,2277,8056,893,3118,40,441,14889
201010,9720,3172,2441,356,15689,2408,8577,1191,2886,102,454,15689
201011,10231,3191,3376,395,17193,2542,8913,1868,3105,204,469,17193
201012,10963,3194,4537,491,19184,2811,9353,2686,3379,334,501,19184
201101,10570,2886,5802,492,19750,2530,8967,3604,3708,419,446,19750
201102,9698,2801,4646,453,17597,2470,8126,2780,3427,289,405,17597
