2019-07-01-00-00-00,국악/전통예술,785,7425,12138,11208,4639,856,685,4461,12349,8577,9263,1715,7781,811,8203,12078,11900,3427,630,79,29270,29,37050
2019-07-01-00-00-00,뮤지컬,2398,37593,230153,123307,9795,3170,2276,38528,194836,148992,16094,5730,77219,2438,37350,238485,117292,8291,2560,81,329197,33,406416
2019-07-01-00-00-00,발레/무용,134,1630,3953,3547,615,214,24,1622,3002,3534,1307,606,1413,153,1631,4112,3549,500,149,86,8680,16,10093
2019-07-01-00-00-00,스포츠,2709,10036,10673,7008,1435,319,4254,8775,12234,5052,1329,531,19307,396,11919,8344,9930,1590,0,40,12871,8,32178
2019-07-01-00-00-00,아웃도어스포츠,1611,120988,151009,96311,19058,3929,2083,89827,163229,109317,23577,4912,180755,1179,148022,140478,85033,15128,3104,54,212190,37,392945
2019-07-01-00-00-00,연극,31893,532598,273033,179185,50965,9805,14438,491115,326800,173367,58615,13038,355568,40406,552855,246958,181986,47194,8189,67,721912,38,1077480
2019-07-01-00-00-00,오페라,453,14678,19197,17837,5193,2259,0,16931,18398,18398,2206,3678,18481,650,13682,19548,17593,6516,1628,69,41136,17,59617
2019-07-01-00-00-00,전시/행사,27004,273521,431325,281326,33228,8439,22363,274048,408329,279111,54219,16667,210968,28164,273415,437232,281854,27953,6329,80,843874,35,1054842
2019-07-01-00-00-00,체험,13512,137648,162100,104870,13773,3966,8282,139086,147193,112760,22055,6451,117685,15430,137125,167636,101950,10722,3008,73,318185,37,435870
2019-07-01-00-00-00,콘서트,13825,150562,147409,84678,28082,7517,13998,144557,154494,76556,31106,11276,151211,13739,153716,143693,88955,26440,5530,65,280820,27,432030
2019-07-01-00-00-00,클래식,2583,24164,24614,19365,4198,1249,2285,22976,26495,15929,6232,2255,17521,2674,24522,24042,20401,3588,952,77,58659,36,76180
2019-06-01-00-00-00,강좌,13955,133479,123429,90880,19289,5566,9277,112257,128956,104835,22730,8466,154624,17009,147395,119795,81680,17009,3672,60,231936,39,386560
2019-06-01-00-00-00,구기스포츠,6005,27053,69957,64215,17489,3558,7794,33040,72781,54219,16717,3709,139312,1035,10335,62069,92059,19654,3106,26,48948,34,188260
2019-06-01-00-00-00,국내숙박,17979,592319,1337295,1037539,229148,54590,18959,523673,1242824,1099975,299428,83683,1046038,17652,625008,1382078,1007793,195805,40861,68,2222832,39,3268870
2019-06-01-00-00-00,국내여행,7219,250539,434232,418055,177142,49733,6952,197597,405087,449071,203747,74333,467922,7353,279416,450141,400942,162569,36364,65,868998,40,1336920
2019-06-01-00-00-00,국악/전통예술,1396,10303,12666,11001,2899,1179,1290,8509,12635,9538,5156,2319,8284,1424,10777,12674,11388,2304,880,79,31162,28,39446
2019-06-01-00-00-00,뮤지컬,2017,33657,148501,77534,8585,2235,1744,30523,130595,94349,11582,3706,59956,2071,34529,153542,72792,7740,1826,78,212572,30,272528
2019-06-01-00-00-00,발레/무용,57,924,2309,2063,457,92,27,1080,1871,2424,475,27,1004,63,893,2397,1990,454,106,83,4899,14,5903
2019-06-01-00-00-00,스포츠,584,8532,9820,6546,1755,701,0,8851,11340,5255,1660,830,11734,1011,8300,8705,7490,1822,606,57,15925,8,27938
2019-06-01-00-00-00,아웃도어스포츠,468,80928,102423,60657,12152,3591,781,63233,105129,73798,12803,4450,124906,208,96984,99951,48739,11528,2810,52,135314,36,260220
2019-06-01-00-00-00,연극,13391,379543,221342,119118,37137,8019,6306,332986,275607,118340,36670,8642,280278,17440,405780,190667,119507,37370,7708,64,498272,38,778550
2019-06-01-00-00-00,오페라,706,12723,24034,20144,4949,2824,2419,3635,23008,24217,3635,8473,18307,0,16469,24452,18464,5492,497,71,46421,18,65381
